_id,activity,deviceID,emotion,latitude,longitude,eTimeStamp
-Lo6-ZmadXrmbuad0Y6P,leer,13,alegre,5.5330424,-73.3637059,1567780661
-Lo61P47sKa1OhlQeiuc,ejercitar,13,feliz,5.5330433,-73.3636726,1567781141
-Lo62CGxmofnSwTv90Oe,estudiar,13,feliz,5.5330433,-73.3636726,1567781351
-Lo62SeEpXRR8fTetvMK,estudiar,13,divertido,5.5330433,-73.3636726,1567781418
-Lo67UrRsskx7fTPzILp,casa,13,deprimido,5.5330433,-73.3636726,1567782738
-Lo67o0aP3cK07bzEoii,estudiar,13,feliz,5.5330433,-73.3636726,1567782821
-Lo7Wf45aahDLphI9hhY,estudiar,13,en pánico,5.5493933,-73.3453795,1567806115
-LoGrC6Li1afEZrOieYz,casa,13,feliz,5.5525198,-73.349237,1567962747
-LoH0tdg30z_xxcgYKfN,alimentar,13,satisfecho,5.3183811,-73.3948348,1567965558
-LoH2gbhNjHYrCrLcfAc,ejercitar,13,feliz,5.318447,-73.3947975,1567966029
-LoHrfP10Bm9Jzf3xHRe,caminar,13,alegre,5.317909,-73.3963679,1567979655
-LoIULPJr6v27L-rhGPh,leer,13,cansado,5.5345634,-73.3531942,1567990056
-LoJ7lzvUy_wXnORUSST,leer,13,cansado,5.5345634,-73.3531942,1568000916
-LoJIJqBaRN5HNvoNA6R,pelicula,13,cansado,5.5345634,-73.3531942,1568003680
-LoKn4yjktaMTARtJsaW,alimentar,13,satisfecho,5.534592,-73.3532003,1568028785
-LoKsj0-LeMsTjpkCW_f,caminar,13,cansado,5.5325224,-73.3640539,1568030264
-LoLL1h4NcluAqRKSH5R,estudiar,13,cansado,5.5326806,-73.3636858,1568037946
-LoMJw4YdRXz2QoT57Ck,alimentar,13,satisfecho,5.5314905,-73.3611065,1568054427
-LoMPYdTGJezURKkuqar,caminar,13,cansado,5.535995,-73.3530009,1568055908
-LoMpvdl2HprTjNijdeW,leer,13,neutral,5.5345737,-73.3532207,1568063084
